first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,vote_average,vote_count
2021-04-06,"[16, 10765]",115236,The Saint's Magic Power is Omnipotent,['JP'],ja,聖女の魔力は万能です,"Sei, a 20-year-old workplace employee, is whisked away to a complete new world. Unfortunately for Sei, the ritual that summoned her—meant to produce a “Saint” who would banish the darkish magic—introduced two folks over as an alternative of 1. And everybody prefers the second woman over Sei?! But this is simply high quality by Sei, who leaves the royal palace to arrange store making potions and cosmetics along with her newfound magic. Business is booming, and this may not be such a nasty life, in any case…so long as her supposed Sainthood does not come again to hang-out her.",18.577,0.0,0
2021-04-06,"[16, 9648, 10765]",99099,Mars Red,['JP'],ja,MARS RED,"It's the year 1923, and vampires have existed for quite a while. But now, the number of vampires is increasing and a mysterious, artificial blood source called Ascra has appeared. The Japanese government, in turn, creates ""Code Zero,"" a unit within the army tasked with taking down the vampiric forces. And what better way to track vampires than by using vampires? Created by Lieutenant General Nakajima, this unit has historically been in the business of information war, but has been re-assigned to solve the vampire crisis.",11.648,0.0,0
2021-04-05,"[16, 35, 18]",106519,I Shaved. Then I Brought a High School Girl Home.,['JP'],ja,ひげを剃る。そして女子高生を拾う。,"Office worker Yoshida has been crushing on his coworker, Airi Gotō, for five years. Despite finally scoring a date with her, his confession is promptly rejected. Drunk and disappointed, he stumbles home, only to find a high school girl sitting on the side of the road. The girl, needing a place to stay the night, attempts to seduce Yoshida. Despite rejecting her advances, he nevertheless invites her into his apartment.

The next morning, the girl, introducing herself as Sayu Ogiwara, reveals that she has run away from Hokkaido all the way to Tokyo. During her six-month spree, she continually traded sexual favors for a roof over her head. Yoshida, however, remains unswayed by her seduction. Instead, he has her do a different kind of work—one that entails washing dishes and doing laundry. And so, a touching relationship between a heartbroken adult and a runaway high school girl begins.",16.566,0.0,0
2021-04-05,"[16, 35]",98309,It's Disgusting to Call This Love,['JP'],ja,恋と呼ぶには気持ち悪い,,1.925,0.0,0
2021-04-04,"[16, 10762]",119977,Mazica Party,['JP'],ja,マジカパーティ,"The franchise's story centers on wizards who gather mazica in order to save the world. Junior high school student Kezuru wakes up after a strange dream featuring himself as a wizard, a creature called ""mazin,"" and a mysterious girl. The next day, his friend Kuracchi proudly shows off the newly launched Mazica Party card game. To Kezuru's shock, all the characters drawn in the game's cards are just like the ones in his dream.",1.403,0.0,0
2021-04-04,"[16, 35]",118588,黒ギャルになったから親友としてみた。,['JP'],ja,黒ギャルになったから親友としてみた。,,3.952,0.0,0
2021-04-04,"[16, 10759, 10765]",118151,Seven Knights Revolution: Eiyuu no Keishousha,['JP'],ja,セブンナイツ レボリューション -英雄の継承者-,,3.303,0.0,0
2021-04-04,"[16, 18, 35]",108478,"Farewell, My Dear Cramer",['JP'],ja,さよなら私のクラマー,,5.323,0.0,0
2021-04-04,"[16, 35, 10765]",103249,Dragon Goes House-Hunting,['JP'],ja,ドラゴン、家を買う。,"When a dragon fails to live up to the fearsome standards set for him, his family kicks him out. He embarks on a quest to find a new home, but soon finds that life on the road is no place for a cowardly beast of legend. In a fantasy world full of elves, dwarves, and other mythical creatures, where everyone wants a piece of him, the frustrations of house-hunting reach a whole new level.",3.549,0.0,0
2021-04-04,"[16, 35, 10759, 10765]",100567,Combatants Will Be Dispatched!,['JP'],ja,戦闘員、派遣します！,"It's tough being on the front lines for an evil organization, and nobody knows this better than No. 6, a Combatant for the Kisaragi Secret Society. Dispatched to a distant alien world on a reconnaissance mission, he's got a new android partner, but how are you supposed to plan an interstellar invasion--of a fantasy world?!",11.592,0.0,0
2021-04-03,"[16, 18, 10765]",116725,Vivy: Fluorite Eye's Song,['JP'],ja,Vivy -Fluorite Eye's Song-,,6.556,0.0,0
2021-04-03,"[16, 18]",106782,Those Snow White Notes,['JP'],ja,ましろのおと,"When Setsu's grandfather died, so did Setsu's ""sound""—his unique creative spark. Grieving, he goes to Tokyo to find himself...but manages to become totally, literally lost on his first day. Only a chance meeting with Yuna—aka Yuka, the hostess—saves him from being robbed. At first glance their lives seem totally different, but they're both striving for their dreams—hers, of being an actress, and his, of developing his talent with the shamisen—and it could just be that life in the raucous, unfeeling urban sprawl of Tokyo could just be what binds their fates together...",13.597,0.0,0
2021-04-03,"[16, 35]",105721,Burning Kabaddi,['JP'],ja,灼熱カバディ,,10.599,0.0,0
2021-04-02,"[16, 35]",106611,Let's Make a Mug Too,['JP'],ja,やくならマグカップも,,2.263,0.0,0
2021-04-02,"[16, 10759, 10765]",96451,SSSS.DYNAZENON,['JP'],ja,SSSS.DYNAZENON,,21.017,0.0,0
2021-04-01,"[16, 10759, 10765]",111177,Godzilla Singular Point,['JP'],ja,ゴジラS.P＜シンギュラポイント＞,"When danger comes up from the depths, only young geniuses Mei, Yun, and their team can face the threat.",39.575,0.0,0
2021-04-01,"[16, 35, 10765, 10759]",104699,Shaman King,['JP'],ja,シャーマンキング,,33.502,0.0,0
2021-03-29,"[16, 35, 10765]",120140,Elliott from Earth,['GB'],en,Elliott from Earth,"An animated sci-fi comedy about a boy and his mum who find themselves suddenly transported somewhere across the universe surrounded by an amazing array of aliens from new and unknown corners of the galaxy. While trying to work out who brought them there and why, they make a new home for themselves and encounter new friends, including Mo, the only other being from Earth – a dinosaur.",3.893,0.0,0
2021-03-26,"[16, 10759, 18]",95557,Invincible,['US'],en,Invincible,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father’s tutelage.",7.511,0.0,0
2021-03-25,"[10759, 16, 10765]",118956,DOTA: Dragon's Blood,['US'],en,DOTA: Dragon's Blood,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.",8.674,0.0,0
2021-03-17,"[16, 35]",121127,The Pole,[],en,The Pole,"After a scandal involving Saint Nick rocks the holly jolly foundations of the North Pole, all hell breaks loose as the future of Christmas turns into a twisted power struggle for the Red Suit.",1.4,0.0,0
