,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,vote_average,vote_count,year,cleaned_name
2891,2010-04-16,"[18, 16, 9648, 80]",53352,House of Five Leaves,['JP'],ja,さらい屋 五葉,"Rônin Akitsu Masanosuke is a skilled swordsman, but his personality often causes him to be let go from his job. One day he encounters Yaichi, the leader of a group calling itself ""Five Leaves"" and takes a job from him as a bodyguard. Though he is worried about their intentions, he feels there is something more to the group and agrees to work with them.",4.206,7.3,6,2010.0,さらい屋五葉
2892,2010-04-11,"[16, 10765, 10759]",42411,The Betrayal Knows My Name,['JP'],ja,裏切りは僕の名前を知っている,"Gifted with a strange ability to see into the troubles of others, kind-hearted Yuki Sakurai finds his life turned upside down the day a handsome stranger named Luka appears. Suddenly, evil beings known as ""Duras"" begin hunting for him and a world of magic, terror, and a dark truth about his past surround him.",3.644,4.0,1,2010.0,裏切りは僕の名前を知っている
2893,2010-04-06,"[16, 18]",65447,Rainbow,['JP'],ja,ＲＡＩＮＢＯＷ 二舎六房の七人,"About ten years after the Second World War, a group of juvenile offenders are sent to the Shounan Special Reform School, a kind of juvenile detention center, to deal with the atrocities and injustices they experienced in the war.",6.974,6.9,18,2010.0,二舎六房の七人
2894,2010-04-06,"[16, 35]",46000,Stray Cats Overrun!,['JP'],ja,迷い猫オーバーラン!,"Takumi lives with his older adoptive sister Otome, she manages a confectionery store called Stray Cats. One day, Otome finds a mysterious girl on the street.",3.806,7.2,3,2010.0,迷い猫オーバーラン
2896,2010-04-05,"[16, 35]",45998,KissXsis,['JP'],ja,kiss×sis,"The story begins with Keita Suminoe, a male third-year junior-high school student studying for his high school entrance exams. He is living in a home with his older twin stepsisters, Ako and Riko, who share no blood relation to him, and they help him prepare for his exams. Even though he initially dislikes himself for it, he begins to become attracted to his two step-sisters, and his two parents encourage him to eventually get married to one of them.",34.607,6.3,33,2010.0,kisssis
2897,2010-04-05,"[16, 35]",35423,Arakawa Under the Bridge,['JP'],ja,荒川アンダー ザ ブリッジ,"Kou Ichinomiya has always lived according to the creed of his wealthy, successful family: never be in debt to anyone. But one day, under the Arakawa Bridge, his life is saved by a homeless girl named Nino. In order to pay her back, Kou promises to be her boyfriend; and thus begins his new life under the bridge.",4.516,7.1,20,2010.0,荒川アンダーザブリッジ
2899,2010-04-04,"[18, 16]",46668,Giant Killing,['JP'],ja,ジャイアントキリング,"Giant Killing follows a ragtag bunch from East Tokyo who are struggling  in Japan's top football league. Nearing the bottom, they have lost 5  matches in a row which hasn't done much to team morale. Even with the  fan's turning their backs on the team, it seems as if the end is near.  East Tokyo United can only blame their coach right now. However, their  Coach is going to do something drastic to prove to his team and fans,  that against the biggest club in the nation, he can make this team win...",6.604,8.3,3,2010.0,ジャイアントキリング
2900,2010-04-04,"[16, 35]",46153,WORKING!!,['JP'],ja,WORKING!!,"Set in a family restaurant in Hokkaido, the northern prefecture of Japan, 16-year-old high school student Sōta Takanashi works part-time along with his strange co-workers: Popura Taneshima, a high school girl who—despite being a year older than Sōta—is easily mistaken for a elementary/middle schooler, and Kyoko Shirafuji, the 28-year-old store manager who does not bother to do any work at all.",13.715,8.3,21,2010.0,working
2901,2010-04-04,"[10765, 16]",45207,Lilpri,['JP'],ja,Lilpri,"Hime Chen! Otogi Chikku Idol Lilpri, also known as Lilpri, is a Japanese shōjo anime directed by Makoto Moriwaki. The anime was adapted from the Sega arcade game of the same name. It was also adapted into two manga series by Mai Jinna.",1.4,0.0,0,2010.0,lilpri
2903,2010-04-03,"[10759, 16]",45403,SD Gundam Sangokuden Brave Battle Warriors,['JP'],ja,SDガンダム三国伝 Brave Battle Warriors,"SD Gundam Sangokuden Brave Battle Warriors is a Japanese anime television adaptation of the SD Gundam model kit series BB Senshi Sangokuden that began airing on April 3, 2010 and is produced by Sunrise. It is directed by Kenichi Suzuki and Kunihiro Mori. There is no opening theme song, however, there two ending theme songs. The first ending theme, ""Mirisha Legend ~The Brave Legend~"", is performed by Ko-saku. This is the same theme song that has been featured in promotional animation for the BB Senshi Sangokuden model kit series. The second ending theme, ""Justice ・Carve a Legend!"", which is used from episode 27 onwards, is performed by Ryuubi, Kan-u, Chouhi, Sousou and Sonken.",1.028,0.0,0,2010.0,sdガンダム三国伝bravebattlewarriors
2905,2010-04-03,"[16, 35, 18, 10765, 10759]",42942,Angel Beats!,['JP'],ja,エンジェルビーツ!,"Angel Beats takes place in the afterlife and focuses on Otonashi, a boy who lost his memories of his life after dying. He is enrolled into the afterlife school and meets a girl named Yuri who invites him to join the Afterlife Battlefront — an organization she leads which fights against God. The Battlefront fight against the student council president Angel, a girl with supernatural powers.",20.421,7.8,182,2010.0,エンジェルビーツ
2906,2010-04-03,"[10759, 16, 35, 10765]",42413,Demon King Daimao,['JP'],ja,いちばんうしろの大魔王,"Demon King Daimao follows Akuto Sai as the lead character, who on the day he enters Constant Magic Academy, receives a very unexpected future occupation aptitude test result: “Demon King.”",13.299,7.6,28,2010.0,いちばんうしろの大魔王
2907,2010-04-02,"[16, 35, 18]",65648,Maid Sama!,['JP'],ja,会長はメイド様！,Misaki Ayuzawa is the first female student council president at a once all-boys school turned co-ed. She rules the school with strict discipline demeanor. But she has a secret—she works at a maid cafe due to her families circumstances. One day the popular A-student and notorious heart breaker Takumi Usui finds out her secret and makes a deal with her to keep it hush from the school in exchange for spending some time with him.,20.198,8.9,339,2010.0,会長はメイド様
2908,2010-04-02,"[16, 35]",45967,Yamada's First Time: B Gata H Kei,['JP'],ja,B型H系,"OMG! There’s this girl at school, Yamada, who wants to make like a hundred sex friends. She totally thinks she can devirginize one hundred different boys! Can you believe that? That’s like every boy in the school. Who does she think she is? I heard from my friend’s neighbor’s cousin’s lab partner that Yamada’s never even been kissed.  Oh. My. God. I would totally die. That’s like burn all your makeup and shave off your eyebrows embarrassing. I can’t even think about it. Today at lunch I saw Yamada flirting, like for reals flirting, with that geek Kosuda. You know the guy. Photography club, no muscles, boring face, kind of reminds you of a black-and-white movie. Super lame. If Yamada can’t even make the sex with him, she’ll never score a hundred cherry boys. She needs to take like Sex Ed or something because I heard she can’t give it away!",15.084,8.0,80,2010.0,b型h系
