,name,overview,anilist_genres,origin_country,original_language,original_name,first_air_date,year,total_fans,combined_average_score,tmdb_popularity,tmdb_users,vote_average,anilist_users,anilist_average_score,source_material,is_adult,tmdb_id,anilist_id
965,Cute High Earth Defense Club LOVE!,"The Earth Defense Club at Binan High School are a group of boys that do nothing, but be lazy. One day when two of the club members, Atsushi and En, are taking a bath in a bathhouse, a talking pink Wombat appears out of nowhere and requests the two boys to help save the Earth with the power of love. Unfortunately, the bathhouse owner's son, Yumoto sees the wombat and chases after it while saying ""Let me fluff you up!"". The next day, the two boys and the other two club members, Io and Ryu are met with the pink wombat and suddenly, bracelets appears and clasp onto each of the four members' wrists, as well as Yumoto (who just happened to be nearby) and they are transformed into the Battle Lovers.","['Comedy', 'Mahou Shoujo', 'Slice of Life']",['JP'],ja,美男高校地球防衛部,2015-01-07,2015,10345.0,62.98936684388593,1.971,2,8.0,10343.0,63.0,ORIGINAL,False,61930,20877.0
966,Doamaiger D,"Kyougoku Daijirou is the 15th generation owner of the Kyoto sweets shop Amashoudou. One day, Daijirou discovers a giant robot named Doamaiger D in his store's basement. At the same time, enemies called ""Mekaijuu"" appear in Kyoto and begin wreaking havoc.","['Action', 'Comedy', 'Mecha']",['JP'],ja,ドアマイガーD,2015-01-05,2015,511.0,48.0,0.6,0,0.0,511.0,48.0,ORIGINAL,False,119310,20873.0
967,Yurikuma Arashi,"Humans have created a Wall of Severance to separate themselves from the bears, who grew violent and attacked humans after a far-off planet known as Kumalia exploded many years ago, turning into a meteor shower that fell upon earth. Two bears, Ginko Yurishiro and Lulu Yurigasaki, sneak through the Wall of Severance and disguise themselves as humans, enrolling in Arashigaoka Academy and taking an interest in Kureha Tsubaki, a human girl who despises bears.","['Drama', 'Fantasy', 'Psychological', 'Romance']",['JP'],ja,ユリ熊嵐,2015-01-05,2015,18049.0,67.95964319352873,4.837,12,7.3,18037.0,68.0,ORIGINAL,False,68642,20827.0
968,Absolute Duo,"This is the story of Tooru Kokonoe who has enrolled at Kouryou Academy, a school which trains students in wielding Blaze, soul powered weapons to prepare them for the Dorn Agency's special peacekeeping corps. When Tooru is partnered with a mysterious girl: Julie Sigtuna, he finds he has to overcome many hurdles to ensure their teamwork and fighting skills are up to par for the duration of their training.","['Action', 'Ecchi', 'Romance', 'Supernatural']",['JP'],ja,アブソリュート・デュオ,2015-01-04,2015,54862.0,59.92084138383581,13.929,84,8.3,54778.0,60.0,LIGHT_NOVEL,False,65764,20785.0
969,Attack on Titan: No Regrets,"Many years before becoming the famed captain of the Survey Corps, a young Levi struggles to survive in the capital's garbage dump, the Underground. As the boss of his own criminal operation, Levi attempts to get by with meager earnings while aided by fellow criminals, Isabel Magnolia and Farlan Church. With little hope for the future, Levi accepts a deal from the anti-expedition faction leader Nicholas Lobov, who promises the trio citizenship aboveground if they are able to successfully assassinate Erwin Smith, a squad leader of the Survey Corps.

As Levi and Erwin cross paths, Erwin acknowledges Levi's agility and skill and gives him the option to either become part of the expedition team, or be turned over to the Military Police, to atone for his crimes. Now closer to the man they are tasked to kill, the group plans to complete their mission and save themselves from a grim demise in the dim recesses of their past home. However, they are about to learn that the surface world is not as liberating as they had thought and that sometimes, freedom can come at a heavy price.

Based on the popular spin-off manga of the same name, Attack on Titan: No Regrets illustrates the encounter between two of Attack on Titan's pivotal characters, as well as the events of the 23rd expedition beyond the walls.","['Action', 'Fantasy']",['JP'],ja,進撃の巨人 悔いなき選択,2014-12-09,2014,54855.0,81.62214930270714,162.34,1020,8.9,53835.0,83.0,MANGA,False,73055,20811.0
970,Japan Animator Expo,"The short film series ""Japan Anima(tor)'s Exhibition"" presented by Studio Khara and Dwango Original projects, spin-off projects, promotional films, Music PV, and VJ Films etc... Various omnibus animations produced with love and energy, regardless of any genres. The digital distribution anime series bring opportunities for project development, R&D, human resources development, and free production under limited period and budget, to explore the possibilities of future film production.","['Action', 'Ecchi', 'Fantasy', 'Mecha', 'Music', 'Supernatural']",['JP'],ja,日本アニメ（ーター）見本市,2014-11-07,2014,7066.0,72.0,1.4,0,0.0,7066.0,72.0,OTHER,False,103927,20947.0
971,Hybrid Child,"The Hybrid Child is an amazing doll that can grow if it is lavished with enough love and care from its owner. Neither fully machine nor fully human, the various Hybrid Child models develop strong emotional bonds with their owners.","['Drama', 'Romance']",['JP'],ja,Hybrid Child,2014-10-29,2014,929.0,74.77717976318623,2.437,3,6.0,926.0,75.0,ORIGINAL,False,83018,30257.0
972,Alice in Borderland,"Arisu, Karube, and Segawa, a trio of highschool delinquents, are bored with their current lives. During a firework celebration, Arisu wishes that he could live in a different world which would be more exciting for him. As such, his wish was granted, and the three were transported into a seemingly post-apocalyptic-like parallel world. After stepping into what seems to be an empty festival, they are greeted by a woman who tells them that they have already ""entered their game"". After clearing the game, she reveals to them that, in Borderlands, they must play games to survive.","['Action', 'Horror', 'Psychological', 'Supernatural']",['JP'],ja,今際の国のアリス,2014-10-17,2014,6698.0,70.96166019707375,6.91,4,6.8,6694.0,71.0,MANGA,False,71907,20952.0
973,Yuki Yuna is a Hero,"Yuna Yuki is an ordinary second-year middle school student. She gets up in the morning, gets ready for school, goes to classes, participates in club activities, and has fun with her friends. But there is one extraordinary thing about Yuki -- she belongs to the “Brave Hero Club.” What does the Brave Hero Club do? Who is the mysterious being called “Vertex?” Yuki Yuna and her friends’ story takes place in Year 300, Era of the Gods.","['Action', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Psychological', 'Slice of Life']",['JP'],ja,結城友奈は勇者である,2014-10-17,2014,24978.0,71.98457842901753,8.78,6,7.8,24972.0,72.0,ORIGINAL,False,71493,20800.0
974,Girl Friend BETA,Shiina Kokomi is a hard working but even tempered high school girl who is the lead performer in her school's rhythmic gymnastics club. The story follows her and her growing circle of friends as they support each other through the various trials and situations that comprise high school life.,['Slice of Life'],['JP'],ja,ガールフレンド（仮）,2014-10-12,2014,7069.0,52.98726835478851,3.07,2,8.0,7067.0,53.0,VIDEO_GAME,False,61485,20757.0
